,date,pred,cci,copper,copper_pct,gdp,alc,alc_pct,spread,emp,emp_pct,inflation
0,1980-01-01,0,0.1878182739019394,0.24139288067817688,0.0,0.075532466173172,0.4331422746181488,0.0004485460522118956,0.025387214496731758,1.0460765906827874e-06,0.03627730906009674,0.0
1,1980-02-01,1,0.2927148938179016,0.0794501006603241,0.000628284877166152,0.10591743886470795,0.14681771397590637,0.09952354431152344,0.1673063337802887,1.955428706423845e-05,0.10665503144264221,0.0009671117295511067
2,1980-03-01,1,0.2980632185935974,0.04712653532624245,0.01142849214375019,0.15616139769554138,0.08196219056844711,0.09820156544446945,0.22723235189914703,0.021387560293078423,0.05843669921159744,0.0
3,1980-04-01,1,0.25426721572875977,0.004693808499723673,0.00018419227853883058,0.1519884616136551,0.028553711250424385,0.1484859585762024,0.232148677110672,0.0,0.15649659931659698,0.023181380704045296
4,1980-05-01,1,0.28685855865478516,0.008919025771319866,0.000915820593945682,0.15817934274673462,0.03170998394489288,0.13895153999328613,0.23843030631542206,0.0,0.1360354721546173,0.0
5,1980-06-01,1,0.3147276043891907,0.00681317551061511,0.0010403178166598082,0.17169496417045593,0.020093360915780067,0.0844922810792923,0.24304404854774475,0.060811351984739304,0.09728283435106277,0.0
6,1980-07-01,1,0.3930852711200714,0.00989488884806633,0.0010188689921051264,0.13984407484531403,0.024899154901504517,0.1982121616601944,0.15327104926109314,0.0,0.07977456599473953,0.0
7,1980-08-01,0,0.24928799271583557,0.020800761878490448,0.009235410019755363,0.1252453476190567,0.022785192355513573,0.25678929686546326,0.14816369116306305,0.0,0.14146509766578674,0.026227222755551338
8,1980-09-01,0,0.33785727620124817,0.025879573076963425,0.00954683031886816,0.1901671290397644,0.05153697729110718,0.12183009833097458,0.18180447816848755,0.021655695512890816,0.05915391072630882,0.000568066316191107
9,1980-10-01,0,0.3234761357307434,0.038558147847652435,0.005704900715500116,0.03499005734920502,0.08396714180707932,0.16415013372898102,0.162866473197937,0.001162996399216354,0.185124009847641,0.0
10,1980-11-01,0,0.19169165194034576,0.11322492361068726,0.0032016432378441095,0.09455043077468872,0.016449198126792908,0.4050029516220093,0.0666753351688385,0.005559596698731184,0.10364419966936111,0.0
11,1980-12-01,1,0.2733159065246582,0.057919006794691086,0.004998943768441677,0.14099451899528503,0.02620827965438366,0.31185925006866455,0.09407331049442291,0.0,0.09063079953193665,0.0
12,1981-01-01,0,0.20520348846912384,0.0734761580824852,0.011612938717007637,0.08587372303009033,0.03174696862697601,0.3861030638217926,0.06289580464363098,0.005292130168527365,0.12649253010749817,0.011303164064884186
13,1981-02-01,0,0.21362978219985962,0.0634932667016983,0.00895325280725956,0.07837162166833878,0.029468294233083725,0.47435104846954346,0.034853532910346985,0.005193755496293306,0.08593464642763138,0.005750894080847502
14,1981-03-01,0,0.22364278137683868,0.1559135913848877,0.006249347236007452,0.07937077432870865,0.07818539440631866,0.24589598178863525,0.06399794667959213,0.00606569554656744,0.13599129021167755,0.0046871621161699295
15,1981-04-01,0,0.29400283098220825,0.1472516655921936,0.023004421964287758,0.11845318973064423,0.0965324267745018,0.18405476212501526,0.039961930364370346,0.01137356273829937,0.08390896767377853,0.0014563159784302115
16,1981-05-01,0,0.27806100249290466,0.22987253963947296,0.03231306001543999,0.08823207765817642,0.1624436378479004,0.04576257988810539,0.03695875406265259,0.01914902590215206,0.10072501748800278,0.006482300348579884
17,1981-06-01,0,0.27486902475357056,0.19274787604808807,0.03219974413514137,0.15443924069404602,0.12764890491962433,0.03549668937921524,0.051570214331150055,0.02949579991400242,0.0946056991815567,0.006926804780960083
18,1981-07-01,0,0.23585258424282074,0.1141471192240715,0.09185764193534851,0.08717206865549088,0.14243730902671814,0.11028344929218292,0.06057026609778404,0.037899911403656006,0.10942065715789795,0.010359072126448154
19,1981-08-01,0,0.2724321186542511,0.013553052209317684,0.028446294367313385,0.05305793881416321,0.05123191699385643,0.12505392730236053,0.09552805125713348,0.009587294422090054,0.34962958097457886,0.0014798818156123161
20,1981-09-01,1,0.1748507171869278,0.0019438400631770492,0.058473315089941025,0.08384798467159271,0.056215766817331314,0.13168348371982574,0.11702311038970947,0.029045697301626205,0.3456760346889496,0.0012400246923789382
21,1981-10-01,1,0.22182196378707886,0.017067987471818924,0.05194878578186035,0.09245549142360687,0.02175072208046913,0.16530407965183258,0.017040282487869263,0.014996304176747799,0.39009958505630493,0.007514793425798416
22,1981-11-01,1,0.1827002465724945,0.014385705813765526,0.05438812077045441,0.08930956572294235,0.06290263682603836,0.07296910881996155,0.14521725475788116,0.013159980066120625,0.3540396988391876,0.010927686467766762
23,1981-12-01,1,0.22935324907302856,0.005864263512194157,0.052056968212127686,0.09347148984670639,0.05768563225865364,0.11205130070447922,0.10698701441287994,0.011604066006839275,0.3115997910499573,0.01932618021965027
24,1982-01-01,1,0.24125315248966217,0.031113360077142715,0.036967337131500244,0.10391003638505936,0.06558194011449814,0.08431851118803024,0.10540831834077835,0.019136929884552956,0.29287341237068176,0.019437013193964958
25,1982-02-01,1,0.30378258228302,0.052728474140167236,0.029278814792633057,0.06306340545415878,0.03229754790663719,0.09446100890636444,0.05462261289358139,0.011248510330915451,0.353762686252594,0.004754343535751104
26,1982-03-01,1,0.3031451404094696,0.04673394560813904,0.08620622009038925,0.11300597339868546,0.059780530631542206,0.056098822504282,0.08258075267076492,0.015047924593091011,0.23489677906036377,0.0025039026513695717
