,date,cci,copper,copper_pct,gdp,alc,alc_pct,spread,emp,emp_pct,inflation,rec_next_month
229,1986-02-01,101.17795690445,100.5,0.0009960159362549792,100.71548829967199,41.67766666666667,0.00018398528117757884,0.99,17663,-0.001300463643559846,2.0452573469405966,0.0
230,1986-03-01,101.206449975383,101.8,0.012935323383084452,100.63196430639,41.68533333333333,0.00018395143682070625,0.18,17624,-0.0022080054350902545,2.1924669715384435,0.0
231,1986-04-01,101.252286654237,101.0,-0.007858546168958758,100.544084307969,41.693,0.00018391760491298648,-0.12,17616,-0.00045392646391284597,2.3396765961362904,0.0
232,1986-05-01,101.319510014146,100.1,-0.008910891089108919,100.4601053808,41.70066666666667,0.00018388378544775819,0.32,17593,-0.0013056312443233686,2.486886220734137,0.0
233,1986-06-01,101.42886220465599,99.9,-0.0019980019980019303,100.38482375995599,41.708333333333336,0.00018384997841747186,1.21,17530,-0.00358096970385946,2.6340958453319834,0.0
234,1986-07-01,101.36264301838499,98.3,-0.0160160160160161,100.315117426032,41.716,0.0001838161838161323,0.4,17497,-0.0018824871648602803,2.7813054699298303,0.0
235,1986-08-01,101.159380079397,98.0,-0.003051881993896166,100.245020867743,41.72366666666667,0.00018378240163641202,0.96,17489,-0.00045722123792646396,2.928515094527677,0.0
236,1986-09-01,100.96528451697701,98.4,0.004081632653061273,100.170416371396,41.73133333333333,0.0001837486318716497,1.19,17498,0.0005146091829149047,3.0757247191255237,0.0
237,1986-10-01,100.86167775775999,97.9,-0.005081300813008172,100.093778855273,41.739000000000004,0.00018371487451496193,1.42,17477,-0.0012001371585323994,3.22293434372337,0.0
238,1986-11-01,100.656405502238,98.2,0.003064351378958108,100.021175064361,41.74666666666667,0.00018368112955902127,1.41,17472,-0.0002860902900955198,3.370143968321217,0.0
239,1986-12-01,100.484085106607,98.3,0.0010183299389001643,99.95952301456092,41.754333333333335,0.0001836473969978325,0.8,17478,0.0003434065934067032,3.517353592919064,0.0
240,1987-01-01,100.447623618,98.7,0.004069175991861629,99.91368258028909,41.762,0.0001836136768238461,0.8500000000000001,17465,-0.00074379219590337,3.6645632175169105,0.0
241,1987-02-01,100.48181562091699,99.2,0.005065856129685908,99.88702896809049,41.871583333333334,0.0026239962964735852,0.9,17499,0.0019467506441455118,3.6989947083441748,0.0
242,1987-03-01,100.564300079725,101.8,0.02620967741935476,99.8809770869175,41.98116666666667,0.0026171289597758385,1.17,17507,0.00045716898108461024,3.7334261991714386,0.0
243,1987-04-01,100.654522896687,102.0,0.0019646365422396617,99.8932158197123,42.09075,0.0026102974746613494,1.37,17525,0.001028160164505687,3.767857689998703,0.0
