DATE,CSCICP03USM665S
1960-01-01,101.739088800659
1960-02-01,101.445449641621
1960-03-01,101.191770754737
1960-04-01,101.051837774283
1960-05-01,101.087166513128
1960-06-01,101.187161874116
1960-07-01,101.208284465121
1960-08-01,101.048550591959
1960-09-01,100.80090502128
1960-10-01,100.595283824388
1960-11-01,100.528588919928
1960-12-01,100.552638241436
1961-01-01,100.607974239447
1961-02-01,100.666928157651
1961-03-01,100.745397632525
1961-04-01,100.884160933727
1961-05-01,101.110675647812
1961-06-01,101.340583535624
1961-07-01,101.450969887276
1961-08-01,101.350229704758
1961-09-01,101.167455419351
1961-10-01,101.075774203398
1961-11-01,101.197719386305
1961-12-01,101.419508799751
1962-01-01,101.577822143978
1962-02-01,101.546734123556
1962-03-01,101.388123652362
1962-04-01,101.181421081035
1962-05-01,100.98087787522
1962-06-01,100.820928393926
1962-07-01,100.746711980845
1962-08-01,100.804001332483
1962-09-01,100.94339779674
1962-10-01,101.115166175504
1962-11-01,101.281962415971
1962-12-01,101.399189386111
1963-01-01,101.400324788439
1963-02-01,101.231818345448
1963-03-01,101.004080551513
1963-04-01,100.860215046814
1963-05-01,100.903982340859
1963-06-01,101.043891248108
1963-07-01,101.159720867028
1963-08-01,101.172900944593
1963-09-01,101.140971530457
1963-10-01,101.154918102074
1963-11-01,101.281616182854
1963-12-01,101.460399973231
1964-01-01,101.604550501901
1964-02-01,101.650698067471
1964-03-01,101.642857941804
1964-04-01,101.641540406464
1964-05-01,101.686848479052
1964-06-01,101.755053050561
1964-07-01,101.807243849497
1964-08-01,101.815083907088
1964-09-01,101.802577795061
1964-10-01,101.806911893622
1964-11-01,101.85964081563
1964-12-01,101.951033633603
1965-01-01,102.071303994426
1965-02-01,102.213176338094
1965-03-01,102.3455745736
1965-04-01,102.423873885478
1965-05-01,102.409626661922
1965-06-01,102.344387333116
1965-07-01,102.274474793448
1965-08-01,102.226726942386
1965-09-01,102.188928422808
1965-10-01,102.135187268369
1965-11-01,102.04136223281
1965-12-01,101.916432740706
1966-01-01,101.766570963087
1966-02-01,101.590318363025
1966-03-01,101.39869451332
1966-04-01,101.199057383735
1966-05-01,100.994334876532
1966-06-01,100.790269643233
1966-07-01,100.598800798864
1966-08-01,100.440788362292
1966-09-01,100.336141307636
1966-10-01,100.332077044926
1966-11-01,100.478015520196
1966-12-01,100.69989052228
1967-01-01,100.91371711802
1967-02-01,101.063222562007
1967-03-01,101.165525611314
1967-04-01,101.242167398696
1967-05-01,101.297344700464
1967-06-01,101.321804466293
1967-07-01,101.286883156174
1967-08-01,101.16926361197
1967-09-01,101.035113006269
1967-10-01,100.974258552544
1967-11-01,101.050894278172
1967-12-01,101.180991644122
1968-01-01,101.248056132149
1968-02-01,101.165422193022
1968-03-01,101.00158107131
1968-04-01,100.848051232027
1968-05-01,100.768455969851
1968-06-01,100.737289735917
1968-07-01,100.719513399992
1968-08-01,100.70172048441
1968-09-01,100.709913499998
1968-10-01,100.795977183197
1968-11-01,100.998165800676
1968-12-01,101.223719787677
1969-01-01,101.337502720813
1969-02-01,101.227272920004
1969-03-01,100.980726105618
1969-04-01,100.695951130211
1969-05-01,100.4282027225
1969-06-01,100.174902393696
1969-07-01,99.9152006131991
1969-08-01,99.6350909053781
1969-09-01,99.3589253980469
1969-10-01,99.1297504612153
1969-11-01,98.9856981440074
1969-12-01,98.8893870424225
1970-01-01,98.8003867794936
1970-02-01,98.6999412684809
1970-03-01,98.6083811387512
1970-04-01,98.5647647710144
1970-05-01,98.5976339512778
1970-06-01,98.6478257628067
1970-07-01,98.634036681972
1970-08-01,98.5010640441737
1970-09-01,98.3320284007871
1970-10-01,98.2486856855432
1970-11-01,98.347802385156
1970-12-01,98.5518377831494
1971-01-01,98.7648589313267
1971-02-01,98.9235369228595
1971-03-01,99.0391574151928
1971-04-01,99.132901675227
1971-05-01,99.214185123699
1971-06-01,99.2808721118623
1971-07-01,99.3230030295955
1971-08-01,99.341117875161
1971-09-01,99.389135894052
1971-10-01,99.5517664940306
1971-11-01,99.8920169854988
1971-12-01,100.284087742124
1972-01-01,100.556339612472
1972-02-01,100.582441066491
1972-03-01,100.49233422826
1972-04-01,100.458215348546
1972-05-01,100.596723569603
1972-06-01,100.81514173146
1972-07-01,100.968187980533
1972-08-01,100.934897437449
1972-09-01,100.76087577764
1972-10-01,100.490248981473
1972-11-01,100.138344201095
1972-12-01,99.760975763646
1973-01-01,99.4126168458442
1973-02-01,99.1300348043137
1973-03-01,98.8869169875991
1973-04-01,98.6572150258095
1973-05-01,98.4390248941045
1973-06-01,98.2650511225974
1973-07-01,98.1970849354347
1973-08-01,98.2762660310208
1973-09-01,98.3673367765558
1973-10-01,98.2808019054092
1973-11-01,97.8831985645444
1973-12-01,97.3849719786254
1974-01-01,97.0803655338795
1974-02-01,97.1879341070142
1974-03-01,97.4974372529614
1974-04-01,97.723117335181
1974-05-01,97.6550430844937
1974-06-01,97.3942762203008
1974-07-01,97.0764292328694
1974-08-01,96.7879157804679
1974-09-01,96.5392812083959
1974-10-01,96.334478249499
1974-11-01,96.2002638430124
1974-12-01,96.1717643415712
1975-01-01,96.3416793611166
1975-02-01,96.8037707244151
1975-03-01,97.3979368849331
1975-04-01,97.9282060202051
1975-05-01,98.248654326641
1975-06-01,98.4132213409213
1975-07-01,98.4850145894713
1975-08-01,98.5014955287493
1975-09-01,98.5324392526066
1975-10-01,98.6589793136134
1975-11-01,98.9381897584635
1975-12-01,99.272070827571
1976-01-01,99.53102009614
1976-02-01,99.6226329909767
